"Market";"Distributor";"Release date";"2001";"2002";"2003";"2004";"2013";"Total since 2001"
"AT";"";"";"22 545";"";"";"";"";"22 545"
"BE";"";"";"145 826";"377";"";"";"";"146 203"
"BG";"";"";"18 510";"959";"";"";"";"19 469"
"CH";"";"";"31 099";"";"";"";"";"31 099"
"CY";"";"";"5 871";"";"";"";"";"5 871"
"CZ";"Bontonfilm";"05/04/2001";"55 612";"1 955";"258";"";"30";"57 855"
"DE";"Constantin Film (DE)";"";"204 605";"";"";"";"";"204 605"
"DK";"";"";"34 485";"";"";"";"";"34 485"
"EE";"MPDE";"11/05/2001";"11 483";"";"";"";"";"11 483"
"ES";"";"";"657 348";"376";"";"";"";"657 724"
"FR";"";"";"1 106 965";"678";"";"155";"";"1 107 798"
"GB";"";"";"910 293";"";"";"";"";"910 293"
"HU";"";"";"92 240";"";"";"";"";"92 240"
"IS";"Myndform";"19/04/2001";"10 162";"";"";"";"";"10 162"
"IT";"";"";"478 010";"523";"";"";"";"478 533"
"LT";"";"";"27 118";"";"";"";"";"27 118"
"LU";"";"";"7 128";"";"";"";"";"7 128"
"NL";"";"";"60 844";"";"";"";"";"60 844"
"PL";"";"";"68 886";"";"";"";"";"68 886"
"RO";"";"";"";"309";"128";"";"";"437"
"SE";"";"";"97 790";"";"";"";"";"97 790"
"TR";"";"";"179 724";"";"";"";"";"179 724"
"EUR EU";"";"";"4 005 559";"5 177";"386";"155";"30";"4 011 307"
"EUR OBS";"";"";"4 226 544";"5 177";"386";"155";"30";"4 232 292"
"US_CA";"";"";"9 536 504";"";"";"";"";"9 536 504"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2013, 2004, 2003, 2002, 2001"
" - film_id : 17314"
