"Market";"Distributor";"Release date";"2004";"2005";"2006";"2007";"2008";"2014";"2016";"2017";"2018";"2019";"2020";"2008-2020";"Total since 2004"
"AT";"Constantin Film (AT)";"22/10/2004";"86 624";"11 634";"127";"138";"";"";"";"";"";"";"";"";"98 523"
"CH";"Rialto Film (CH)";"30/09/2004";"24 164";"3 110";"";"75";"";"";"";"";"";"";"";"";"27 349"
"CZ";"Atypfilm";"27/10/2005";"";"4 608";"576";"2";"5";"";"";"";"";"";"";"5";"5 191"
"DE";"Croco Film Verleih";"30/09/2004";"1 223 235";"90 530";"";"";"";"8";"34";"50";"52";"11";"2 024";"2 179";"1 315 944"
"ES";"Flins y piniculas";"27/10/2005";"";"96 783";"5 690";"";"";"";"";"";"";"";"";"";"102 473"
"EUR EU";"";"";"1 309 859";"203 555";"6 393";"140";"5";"8";"34";"50";"52";"11";"2 024";"2 184";"1 522 131"
"EUR OBS";"";"";"1 334 023";"206 665";"6 393";"215";"5";"8";"34";"50";"52";"11";"2 024";"2 184";"1 549 480"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2014, 2008, 2007, 2006, 2005, 2004"
" - film_id : 21931"
