"Film";"Producing country";"Production year";"Directors";"Admissions EUR EU (since 1996)"
"Les Bronzés 3: amis pour la vie (FR)
French Fried Vacation 3: Friends Forever (EN)
Friends Forever (EN)
Filoi gia panta (EL)
S.O.S. ¡Llegaron mis amigos! (ES)
Les bronzés 3: amis pour la vie (FR)
Legeslegjobb cimborák (HU)
Opaleni - przyjaciele na cale zycie (PL)
Prieteni pentru totdeauna (RO)
Веселые и загорелые (RU)
Les bronzés 3: amis pour la vie (XX)
Les Bronzés 3 - Amis pour la vie (XX)";"FR";"2006";"Patrice Leconte";"10 813 919"
"Taken 2 (EN)
Твърде лично 2 (BG)
96 hodin: Odplata (CS)
96 Hours - Taken 2 (DE)
I arpagi 2 (EL)
Η αρπαγή 2 (EL)
Taken 2 (Venganza 2) (ES)
Busqueda Implacable 2 (ES)
Búsqueda implacable 2 (ES)
Búsqueda implacable 2 (ES)
Búsqueda implacable 2 (ES)
Venganza: Conexión Estambul (ES)
Búsqueda implacable 2 (ES)
Búsqueda implacable 2 (ES)
Búsqueda Implacable 2 (ES)
Röövitud 2 (ET)
Taken 2 (FR)
96 Sati: Istanbul (HR)
96 sati: Istanbul (HR)
Elrabolva 2. (HU)
Elrabolva 2 (HU)
Taken: La Vendetta (IT)
Io vi salverò (IT)
Taken - La vendetta (IT)
96 Jikan - Revenge (JA)
Pagrobimas 2: Neisvengiamas kerstas (LT)
Nolaupītā 2 (LV)
Uprowadzona 2 (PL)
Taken - A Vingança (PT)
Busca Implacável 2 (PT)
Taken 2: Teroare In Istanbul (RO)
Taken 2: Teroare in Istanbul (RO)
Заложница-2 (RU)
Заложница 2 (RU)
96 Hodín:Odplata (SK)
96 hodín: Odplata (SK)
Ugrabljena 2 (SL)
96 sati: Istanbul (SR)
Taken 2 (SV)
Takip: Istanbul (TR)
Викрадена 2 (UK)
Taken 2 (XX)
Taken 2 (XX)
L'enlèvement 2 (XX)
Hatufa 2 (XX)
Búsqueda implacable 2 (XX)";"FR";"2012";"Olivier Megaton";"10 747 978"
"Rien à déclarer (FR)
Nothing To Declare (EN)
Nichts zu verzollen (DE)
Nada que declarar (ES)
Finánc a pácban (HU)
Niente da dichiarare? (IT)
Nic do oclenia (PL)
Nada a Declarar (PT)
Nimic de declarat (RO)
Таможня дает добро (RU)
Митниця даe добро (UK)
Rien à déclarer (XX)
Rien à déclarer (XX)
Bruhim ha'ba'im la'mehes (XX)
Nothing to Declare (XX)";"FR / BE";"2010";"Dany Boon";"9 954 883"
"Qu'est-ce qu'on a encore fait au bon Dieu? (FR)
Serial (Bad) Weddings 2 (EN)
Monsieur Claude 2 (DE)
Monsieur Claude 2 - Immer für eine Überraschung gut (DE)
Dios mío, ¿pero qué te hemos hecho? 2 (ES)
Dios Mío, Pero Qué Te Hemos Hecho... Ahora? (ES)
Bazi nagy francia lagzik 2. (HU)
Non sposate le mie figlie 2 (IT)
Bon Dieu! 2 (NL)
I znowu zgrzeszylismy, dobry Boze! (PL)
Cu ce ţi-am mai greşit noi, Doamne? (RO)
Šta smo još Bogu zgrešili? (SR)";"FR";"2018";"Philippe de Chauveron";"9 739 618"
"Taken 3 (EN)
96 Hodin: Zúctování (CS)
96 Hours - Taken 3 (DE)
Η αρπαγή 3 (EL)
Búsqueda implacable 3 (ES)
Búsqueda implacable 3 (ES)
V3nganza (ES)
Búsqueda implacable 3 (ES)
Búsqueda Implacable 3 (ES)
L'enlèvement 3 (FR)
Taken 3 (FR)
96 sati: U bijegu (HR)
Elrabolva 3 (HU)
Taken 3 - L'ora della verità (IT)
Hatufa 3 (IW)
Pagrobimas 3 (LT)
Uprowadzona 3 (PL)
Busca Implacável 3 (PT)
Taken 3 (PT)
Taken 3: Teroare în L.A. (RO)
Заложница 3 (RU)
Ugrabljena 3 (SL)
96 sati: U begu (SR)
Takip 3: Son Karsilasma (TR)
Girov 3 (XX)
Búsqueda Implacable 3 (XX)
96 sati: U begu (XX)
Búsqueda implacable 3 (XX)
Taken 3 (XX)
L'enlèvement 3 (XX)
Hatufa 3 (XX)
Tak3n (XX)";"FR";"2014";"Olivier Megaton";"9 386 396"
"Le pacte des loups (FR)
Brotherhood of the Wolf (EN)
Братството на вълците (BG)
Bratrstvo vlku - Hon na bestii (CS)
Bratrstvo vlku (CS)
Bratrstvo vlků - Hon na bestii (CS)
Pagten (DA)
Pakt der Wölfe (DE)
Der Pakt der Wölfe (DE)
I adelfotita ton lykon (EL)
Η Αδελφότητα των Λύκων (EL)
El pacto de los lobos (ES)
Pacto de lobos (ES)
Hundi vennaskond (ET)
Susien klaani (FI)
Vargarnas klan (FI)
Lupus dei - Le pacte des loups (FR)
Vučje bratstvo (HR)
Farkasok szövetsége (HU)
Bræðralag úlfsins (IS)
Il patto dei lupi (IT)
Jevodan no Kemono (JA)
La Bête du Gévaudan (JA)
The Beast of Gevaudan (JA)
Vilko brolija (LT)
Ulvenes klan (NO)
Braterstwo Wilków (PL)
Braterstwo wilków (PL)
O Pacto dos Lobos (PT)
O Pacto dos Lobos (PT)
Fratia lupilor (RO)
Братство волка (RU)
Bratstvo vlka (SK)
Volcja bratovscina (SL)
Pakt s vukovima (SR)
Vargarnas pakt (SV)
Kurtlarin kardesligi (TR)
Братство вовка (UK)
Le pacte des loups (XX)
Brotherhood of the Wolf (XX)
Anjoman e Gorg (XX)
Brotherhood of the Wolf (XX)";"FR";"2001";"Christophe Gans";"8 482 345"
"Valerian and the City of a Thousand Planets (EN)
Valerian and the City of a Thousand Planets (EN)
Valerian (EN)
Валериан и градът на хилядите планети (BG)
Valerian a mesto tisíce planet (CS)
Valerian y la ciudad de los mil planetas (DA)
Valerian - Die Stadt der tausend Planeten (DE)
Ο Βαλέριαν και η πόλη με τους χίλιους... (EL)
Valerian y la ciudad de los mil planetas (ES)
Valerian ja tuhande planeedi linn (ET)
Valérian et la cité des mille planètes (FR)
Valérian et la Cité des Mille Planètes (FR)
Valerian i grad tisuću planeta (HR)
Valerian és az ezer bolygó városa (HU)
Valerian e la città dei mille pianeti (IT)
Valerian ve'ir ellef ha'kokhavim (IW)
Valerianas ir tukstancio planetu miestas (LT)
Valerian i miasto tysiąca planet (PL)
Valerian e a Cidade dos Mil Planetas (PT)
Valerian si Orasul celor o mie de planete (RO)
Валериан и город тысячи планет (RU)
Valerián a mesto tisícich planét (SK)
Valerian in mesto tisocerih planetov (SL)
Valerijan i carstvo hiljadu planeta (SR)
Valerian ve Bin Gezegen Imparatorlugu (TR)
Валерiан i мiсто тисячi планет (UK)
Valerian and the City of a Thousand Planets (XX)
Valérian et la cité des mille planètes (XX)
Valerian ve'ir ellef ha'kokhavim (XX)
Valerian y la ciudad de los mil planetas (XX)
Valerian (XX)
Valérian (XX)";"FR / CN / US / DE / AE";"2017";"Luc Besson";"8 267 120"
"The Pianist (EN)
Пианистът (BG)
Pianista (CS)
Pianisten (DA)
Der Pianist (DE)
O pianistas (EL)
Ο πιανίστας (EL)
El pianista, de Roman Polanski (ES)
El pianista (ES)
El pianista (ES)
El pianista (ES)
El pianista (ES)
Pianist (ET)
Pianisti (FI)
Pianisten (FI)
Le pianiste (FR)
Pijanist (HR)
A zongorista (HU)
Il pianista (IT)
Senjô no pianisuto (JA)
Pianisti (KA)
Pianistas (LT)
Pianisten (NO)
Pianista (PL)
O Pianista (PT)
O Pianista (PT)
Pianistul (RO)
Пианист (RU)
Pianista (SK)
Pianist (SL)
Pijanista (SR)
The Pianist (SV)
Piyanist (TR)
Пiанiст (UK)
The Pianist (XX)
Pianoçu (XX)
Le pianiste (XX)
The Pianist (XX)
El pianista (XX)";"FR / GB / DE / PL";"2002";"Roman Polanski";"8 231 813"
"La Môme (FR)
The Passionate Life of Edith Piaf (EN)
La Vie en Rose (EN)
Едит Пиаф: Животът в розово (BG)
Edith Piaf (CS)
Spurven (DA)
La vie en rose (DE)
Zoi san triantafyllo (EL)
Ζωή σαν τριαντάφυλλο (EL)
La Vida En Rosa (Edith Piaf) (ES)
La vie en rose (ES)
La vida en rosa (Edith Piaf) (ES)
La vida en rosa (ES)
Edith Piaf - Elusse armunud (ET)
Pariisin varpunen - Edith Piaf (FI)
Berättelsen om Edith Piaf (FI)
Život u ružičastom (HR)
Piaf (HU)
La vie en rose (IT)
Édith Piaf - Ai no Sanka (JA)
Edith Piaf. Rožinis gyvenimas (LT)
Edit Piaf: rozinis gyvenimas (LT)
La vie en rose (NL)
La vie en rose (NO)
Niczego nie zaluje - Edith Piaf (PL)
Piaf, um Hino ao Amor (PT)
La vie en rose (PT)
Жизнь в розовом цвете (RU)
Edith Piaf (SK)
Življenje V Rožnatem (SL)
Život u ružičastom (SR)
La Vie en Rose - Berättelsen om Edith Piaf (SV)
Kaldirim serçesi (TR)
Життя в рожевому кольорi (UK)
Edith Piaf- Ha-Haim B'Varod (XX)";"FR / CZ / GB";"2007";"Olivier Dahan";"7 721 378"
"The Artist (EN)
Beauty Spot (EN)
Артистът (BG)
The Artist (CS)
Umelec (CS)
The Artist (DA)
The Artist (EL)
El Artista (ES)
El artista (ES)
El artista (ES)
El artista (ES)
The Artist (ES)
El artista (ES)
El artista (ES)
Artist (ET)
The Artist (FR)
Umjetnik (HR)
A némafilmes (HU)
Artist (JA)
Artistas (LT)
Mākslinieks (LV)
Artysta (PL)
O Artista (PT)
Artistul (RO)
Артист (RU)
Umetnik (SL)
Glumac (SR)
The Artist (SV)
Artist (TR)
Артист (UK)
The Artist (XX)
L'artiste (XX)
Ha'artist (XX)
El artista (XX)
Nghe si (XX)
El artista (XX)";"FR / BE";"2011";"Michel Hazanavicius";"7 667 629"
