"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Wild Bunch (AT)";"12/05/2017";"34 073";"431";"";"";"34 504"
"BA";"Una Film";"";"8 243";"";"";"";"8 243"
"BE";"Kinepolis Film Distribution (BE)";"28/03/2018";"7 415";"45 162";"";"";"52 577"
"BG";"Pro Films (BG)";"12/05/2017";"26 212";"2 346";"";"";"28 558"
"CH";"MovieBiz";"11/05/2017";"11 615";"2 282";"";"";"13 897"
"CZ";"Bontonfilm";"20/07/2017";"34 365";"2 632";"143";"";"37 140"
"DE";"Wild Bunch (DE)";"11/05/2017";"210 659";"14 007";"820";"140";"225 626"
"EE";"VaataFilmi/Forum Distribution (EE)";"21/04/2017";"8 488";"";"";"";"8 488"
"ES";"Flins y piniculas";"12/05/2017";"79 372";"917";"";"";"80 289"
"FI";"B-Plan";"28/04/2017";"7 405";"185";"";"";"7 590"
"FR";"Paradis Films";"07/02/2018";"";"613 327";"";"";"613 327"
"GB";"Signature Entertainment";"31/08/2018";"";"6 915";"";"";"6 915"
"HR";"Editus (HR)";"20/07/2017";"21 933";"";"";"95";"22 028"
"HU";"Big Bang Media";"11/05/2017";"13 138";"635";"";"";"13 773"
"IS";"Samfilm";"26/07/2017";"4 319";"";"";"";"4 319"
"IT";"M2 Pictures";"10/05/2017";"71 223";"1 053";"362";"";"72 638"
"LT";"Garsų pasaulio įrašai (LT)";"10/03/2017";"21 617";"";"";"";"21 617"
"LU";"";"";"3 407";"71";"24";"";"3 502"
"LV";"Garsu Pasaulio irasai (LV)";"21/04/2017";"3 519";"";"";"";"3 519"
"MK";"Premium Film (MK)";"";"1 964";"";"";"";"1 964"
"NL";"Just Film Distribution";"21/03/2018";"";"86 142";"";"";"86 142"
"NO";"Euforia Film";"05/05/2017";"97 736";"2 163";"690";"6";"100 595"
"PL";"Kino Swiat";"05/05/2017";"134 612";"2 397";"1 676";"";"138 685"
"PT";"NOS Lusomundo Audiovisuais (PT)";"24/08/2017";"42 341";"2 817";"";"";"45 158"
"RO";"Ro-Image 2000";"28/04/2017";"37 938";"720";"14";"";"38 672"
"RU";"Nashe Kino";"18/05/2017";"553 518";"7 108";"";"";"560 626"
"SI";"Karantanija Cinemas";"16/02/2017";"21 149";"282";"";"";"21 431"
"SK";"Bontonfilm (SK)";"20/07/2017";"33 556";"1 248";"52";"";"34 856"
"TR";"TME FILMS (TR)";"20/10/2017";"116 484";"4 102";"852";"400";"121 838"
"EUR EU";"";"";"812 422";"781 287";"3 091";"235";"1 597 035"
"EUR OBS";"";"";"1 606 301";"796 942";"4 633";"641";"2 408 517"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72675"
