"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Filmladen";"23/02/2017";"105 573";"";"";"";"105 573"
"BE";"DCM Film Distribution (BE)";"";"4 293";"";"";"";"4 293"
"CH";"DCM Film Distribution (CH)";"23/02/2017";"61 651";"";"";"";"61 651"
"DE";"DCM Film Distribution (DE)";"23/02/2017";"1 654 385";"1 403";"46";"748";"1 656 582"
"LU";"";"";"4 786";"";"";"";"4 786"
"EUR EU";"";"";"1 769 037";"1 403";"46";"748";"1 771 234"
"EUR OBS";"";"";"1 830 688";"1 403";"46";"748";"1 832 885"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73512"
