"Market";"Distributor";"Release date";"2004";"Total since 2004"
"AT";"Einhorn Film";"19/05/2004";"76 889";"76 889"
"CH";"";"";"14 264";"14 264"
"DE";"Falcom Media";"20/05/2004";"1 879 720";"1 879 720"
"EUR EU";"";"";"1 956 609";"1 956 609"
"EUR OBS";"";"";"1 970 873";"1 970 873"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2004"
" - film_id : 21917"
