"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Constantin Film (AT)";"22/03/2013";"39 769";"182";"135";"";"";"";"";"";"";"40 086"
"CH";"Eigenverleih / Propre Distribution (CH)";"21/03/2013";"16 314";"";"";"";"";"";"3";"";"3";"16 317"
"DE";"Constantin Film (DE)";"21/03/2013";"844 581";"6 469";"1 885";"1 064";"1 782";"1 149";"225";"548";"3 704";"857 703"
"DK";"Angel Films";"04/01/2016";"";"";"";"1 180";"";"";"";"";"";"1 180"
"PL";"Bomba Film";"25/05/2018";"";"";"";"";"";"9 046";"";"";"9 046";"9 046"
"EUR EU";"";"";"884 350";"6 651";"2 020";"2 244";"1 782";"10 195";"225";"548";"12 750";"908 015"
"EUR OBS";"";"";"900 664";"6 651";"2 020";"2 244";"1 782";"10 195";"228";"548";"12 753";"924 332"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013"
" - film_id : 44683"
