"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Fox Int'l (AT)";"11/07/2014";"21 806";"";"";"";"";"";"";"";"21 806"
"CH";"20th Century Fox (CH)";"10/07/2014";"11 902";"";"";"";"";"75";"";"75";"11 977"
"DE";"20th Century Fox (DE)";"10/07/2014";"706 963";"118 402";"10 063";"6 331";"7 314";"6 779";"604";"14 697";"856 456"
"EUR EU";"";"";"728 769";"118 402";"10 063";"6 331";"7 314";"6 779";"604";"14 697";"878 262"
"EUR OBS";"";"";"740 671";"118 402";"10 063";"6 331";"7 314";"6 854";"604";"14 772";"890 239"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48893"
