"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin (AT)";"18/10/2018";"60 605";"3 919";"";"64 524"
"CH";"Pathé Films (CH)";"18/10/2018";"15 373";"61";"221";"15 655"
"DE";"Constantin Film (DE)";"18/10/2018";"1 272 832";"135 277";"9 426";"1 417 535"
"LU";"";"";"903";"";"";"903"
"RU";"Russian Report";"19/12/2019";"";"2 696";"390";"3 086"
"EUR EU";"";"";"1 334 340";"139 196";"9 426";"1 482 962"
"EUR OBS";"";"";"1 349 713";"141 953";"10 037";"1 501 703"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79778"
