"Market";"Distributor";"Release date";"2019";"2020";"Total since 2019"
"AT";"Constantin Film (AT)";"02/08/2019";"230 827";"";"230 827"
"CH";"Praesens Film";"01/08/2019";"4 281";"";"4 281"
"DE";"Constantin Film (DE)";"01/08/2019";"1 242 681";"18 314";"1 260 995"
"LU";"";"";"264";"";"264"
"EUR EU";"";"";"1 473 772";"18 314";"1 492 086"
"EUR OBS";"";"";"1 478 053";"18 314";"1 496 367"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019"
" - film_id : 85205"
