"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2020";"2018-2020";"Total since 2014"
"AT";"Thimfilm";"20/02/2014";"11 210";"";"";"";"";"";"";"11 210"
"CH";"Praesens Film";"20/02/2014";"10 538";"";"";"";"";"";"";"10 538"
"DE";"NFP Marketing & Distribution";"20/02/2014";"1 328 607";"874";"192";"122";"100";"156";"256";"1 330 051"
"EUR EU";"";"";"1 339 817";"874";"192";"122";"100";"156";"256";"1 341 261"
"EUR OBS";"";"";"1 350 355";"874";"192";"122";"100";"156";"256";"1 351 799"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48885"
