"Market";"Distributor";"Release date";"2005";"2006";"2007";"2009";"2017";"Total since 2005"
"AT";"UIP (AT)";"04/02/2005";"154 918";"";"";"";"";"154 918"
"CH";"Universal Pictures (CH)";"03/02/2005";"86 204";"";"";"39";"65";"86 308"
"DE";"UIP (DE)";"03/02/2005";"1 212 082";"";"";"";"";"1 212 082"
"IT";"Moviemax";"20/01/2006";"";"61 972";"1 197";"";"";"63 169"
"LU";"";"";"8 700";"";"";"";"";"8 700"
"EUR EU";"";"";"1 375 700";"61 972";"1 197";"";"";"1 438 869"
"EUR OBS";"";"";"1 461 904";"61 972";"1 197";"39";"65";"1 525 177"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2009, 2007, 2006, 2005"
" - film_id : 24242"
