"Market";"Distributor";"Release date";"2002";"2003";"2004";"2005";"2019";"Total since 2002"
"AT";"";"";"38 402";"38";"";"";"";"38 440"
"CH";"";"";"39 419";"";"";"";"";"39 419"
"DE";"Constantin Film (DE)";"19/09/2002";"914 366";"54 535";"";"";"25";"968 926"
"ES";"Musidora Films";"02/07/2003";"";"39 380";"235";"406";"";"40 021"
"PL";"Best Film";"21/02/2003";"";"6 488";"";"";"";"6 488"
"EUR EU";"";"";"952 768";"100 441";"235";"406";"25";"1 053 875"
"EUR OBS";"";"";"992 187";"100 441";"235";"406";"25";"1 093 294"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2005, 2004, 2003, 2002"
" - film_id : 18805"
