"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Warner Bros. (AT)";"26/12/2014";"68 941";"348 066";"";"";"";"";"";"";"417 007"
"BE";"Utopia Distribution (BE)";"";"";"";"";"111";"";"";"";"";"111"
"CH";"Warner Bros. (CH)";"25/12/2014";"42 440";"379 968";"925";"55";"14";"";"";"14";"423 402"
"DE";"Warner Bros. (DE)";"25/12/2014";"1 030 699";"6 201 901";"42 364";"5 062";"2 532";"662";"1 391";"4 585";"7 284 611"
"GB";"Warner Bros. (GB)";"19/04/2019";"";"";"";"";"";"2 814";"";"2 814";"2 814"
"LU";"";"";"";"";"";"111";"";"";"";"";"111"
"EUR EU";"";"";"1 099 640";"6 549 967";"42 364";"5 284";"2 532";"3 476";"1 391";"7 399";"7 704 654"
"EUR OBS";"";"";"1 142 080";"6 929 935";"43 289";"5 339";"2 546";"3 476";"1 391";"7 413";"8 128 056"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48888"
