"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"06/07/2017";"22 726";"";"";"";"22 726"
"BE";"Constantin (BE)";"";"2 331";"";"";"";"2 331"
"CH";"Pathé Films (CH)";"06/07/2017";"10 623";"";"";"";"10 623"
"DE";"Constantin Film (DE)";"06/07/2017";"896 717";"5 646";"363";"473";"903 199"
"LU";"";"";"2 331";"";"";"";"2 331"
"EUR EU";"";"";"924 105";"5 646";"363";"473";"930 587"
"EUR OBS";"";"";"934 728";"5 646";"363";"473";"941 210"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73893"
