"Market";"Distributor";"Release date";"2009";"2010";"2011";"2014";"2015";"2016";"2017";"2018";"2015-2018";"Total since 2009"
"AT";"Constantin Film (AT)";"07/08/2009";"28 130";"2 794";"264";"";"";"";"";"";"";"31 188"
"CH";"Pathé Films (CH)";"06/08/2009";"14 657";"165";"";"";"";"";"";"";"";"14 822"
"DE";"Constantin Film (DE)";"06/08/2009";"1 296 343";"56 148";"";"96";"334";"143";"253";"150";"880";"1 353 467"
"IT";"20th Century Fox (IT)";"16/04/2010";"";"1 886";"";"";"";"";"";"";"";"1 886"
"EUR EU";"";"";"1 324 473";"60 828";"264";"96";"334";"143";"253";"150";"880";"1 386 541"
"EUR OBS";"";"";"1 339 130";"60 993";"264";"96";"334";"143";"253";"150";"880";"1 401 363"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2011, 2010, 2009"
" - film_id : 33441"
