"Market";"Distributor";"Release date";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2015-2020";"Total since 2011"
"AT";"Constantin Film (AT)";"26/10/2011";"112 382";"19 502";"95";"";"";"";"";"";"";"";"";"131 979"
"CH";"Filmcoopi Zürich";"02/02/2012";"";"2 559";"";"";"";"";"";"29";"";"";"29";"2 588"
"DE";"LEONINE Distribution GmbH";"27/10/2011";"1 027 339";"246 487";"";"896";"198";"35";"71";"80";"340";"485";"1 209";"1 275 931"
"EUR EU";"";"";"1 139 721";"265 989";"95";"896";"198";"35";"71";"80";"340";"485";"1 209";"1 407 910"
"EUR OBS";"";"";"1 139 721";"268 548";"95";"896";"198";"35";"71";"109";"340";"485";"1 238";"1 410 498"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011"
" - film_id : 38366"
