"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2016";"2011-2016";"Total since 2007"
"AT";"Filmladen";"19/01/2007";"44 338";"40";"";"67";"";"";"";"44 445"
"CH";"Filmcoopi Zürich";"18/01/2007";"10 311";"";"";"";"";"";"";"10 311"
"CZ";"Bontonfilm";"13/09/2007";"5 330";"314";"";"";"";"";"";"5 644"
"DE";"X-Verleih";"11/01/2007";"796 907";"";"";"";"";"41";"41";"796 948"
"ES";"Baditri";"07/08/2009";"";"";"12 088";"1 251";"15";"";"15";"13 354"
"FR";"Jour2Fête";"01/01/2008";"";"10 524";"";"41";"";"";"";"10 565"
"HR";"Blitz Film & Video Distribution (HR)";"";"3 132";"";"";"";"";"";"";"3 132"
"IT";"Warner Bros. (IT)";"23/11/2007";"16 697";"1 662";"368";"";"";"";"";"18 727"
"NO";"Fidalgo";"31/08/2007";"1 831";"3";"3";"";"";"";"";"1 837"
"PL";"Monolith/SPI";"26/10/2007";"13 236";"127";"";"";"";"";"";"13 363"
"SI";"Blitz Film & Video Distribution (SI)";"14/06/2007";"2 622";"";"";"";"";"";"";"2 622"
"SK";"Tatra Film";"15/11/2007";"1 658";"203";"";"";"";"";"";"1 861"
"EUR EU";"";"";"883 920";"12 870";"12 456";"1 359";"15";"41";"56";"910 661"
"EUR OBS";"";"";"896 062";"12 873";"12 459";"1 359";"15";"41";"56";"922 809"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2011, 2010, 2009, 2008, 2007"
" - film_id : 28439"
