"Market";"Distributor";"Release date";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2011";"2012";"2004-2012";"Total since 2000"
"AT";"";"";"39 525";"";"";"";"";"";"";"";"";"";"39 525"
"CH";"Filmcoopi Zürich";"17/08/2000";"19 603";"";"";"";"";"";"";"16";"";"16";"19 619"
"DE";"Constantin Film (DE)";"";"1 467 029";"18 514";"";"";"";"";"";"";"";"";"1 485 543"
"DK";"Miracle Film";"05/10/2001";"";"3 007";"2 392";"238";"20";"92";"111";"";"";"223";"5 860"
"PT";"";"";"";"";"";"";"";"";"";"";"119";"119";"119"
"SE";"Folkets Bio";"26/04/2002";"";"";"1 168";"68";"";"";"";"";"";"";"1 236"
"EUR EU";"";"";"1 506 554";"21 521";"3 560";"306";"20";"92";"111";"";"119";"342";"1 532 283"
"EUR OBS";"";"";"1 526 157";"21 521";"3 560";"306";"20";"92";"111";"16";"119";"358";"1 551 902"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011, 2006, 2005, 2004, 2003, 2002, 2001, 2000"
" - film_id : 15474"
