"Market";"Distributor";"Release date";"2009";"2010";"2011";"2013";"2015";"2017";"2020";"2015-2020";"Total since 2009"
"AT";"Constantin Film (AT)";"23/10/2009";"159 210";"5 753";"";"";"";"";"";"";"164 963"
"CH";"Pathé Films (CH)";"22/10/2009";"83 174";"6 130";"77";"";"";"";"";"";"89 381"
"CY";"Odeon (CY)";"11/12/2009";"638";"";"";"";"";"";"";"";"638"
"DE";"Constantin Film (DE)";"22/10/2009";"2 339 213";"176 564";"";"";"9";"24";"32";"65";"2 515 842"
"GR";"Odeon (GR)";"12/11/2009";"";"551";"122";"";"";"";"";"";"673"
"IT";"Medusa Film";"04/06/2010";"";"154 095";"105";"";"";"";"";"";"154 200"
"LT";"Acme (LT)";"05/02/2010";"";"4 221";"69";"";"";"";"";"";"4 290"
"NL";"Entertainment One Benelux";"01/04/2010";"";"3 517";"";"109";"";"";"";"";"3 626"
"PT";"ZON Lusomundo Cinemas";"16/09/2010";"";"3 081";"";"";"";"";"";"";"3 081"
"RU";"West Video";"10/06/2010";"";"35 656";"";"";"";"";"";"";"35 656"
"EUR EU";"";"";"2 499 061";"347 782";"296";"109";"9";"24";"32";"65";"2 847 313"
"EUR OBS";"";"";"2 582 235";"389 568";"373";"109";"9";"24";"32";"65";"2 972 350"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2017, 2015, 2013, 2011, 2010, 2009"
" - film_id : 33437"
