"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Warner Bros. (AT)";"06/12/2018";"109 034";"53 938";"";"162 972"
"BA";"2iFilm (BA)";"21/03/2019";"";"904";"";"904"
"BE";"Utopia Distribution (BE)";"06/12/2018";"4 835";"";"";"4 835"
"CH";"Warner Bros. (CH)";"06/12/2018";"45 433";"28 444";"71";"73 948"
"CZ";"Bioscop (AQS)";"18/07/2019";"";"41 570";"513";"42 083"
"DE";"Warner Bros. (DE)";"06/12/2018";"963 317";"556 744";"10 637";"1 530 698"
"HR";"2iFilm (HR)";"21/02/2019";"";"2 339";"";"2 339"
"HU";"Big Bang Media";"12/09/2019";"";"9 138";"105";"9 243"
"LT";"Kino Pasaka (LT)";"06/09/2019";"";"1 461";"";"1 461"
"LU";"";"";"4 681";"3 588";"";"8 269"
"ME";"2iFilm (ME)";"";"";"79";"";"79"
"MK";"German Embassy (MK)";"";"";"70";"";"70"
"NO";"Independent distributor (NO)";"24/01/2020";"";"";"688";"688"
"RU";"Volga (RU)";"28/03/2019";"";"45 302";"";"45 302"
"SI";"2iFilm (SI)";"28/03/2019";"";"1 683";"";"1 683"
"SK";"Magic Box Slovakia";"18/07/2019";"";"23 253";"706";"23 959"
"EUR EU";"";"";"1 081 867";"693 714";"11 961";"1 787 542"
"EUR OBS";"";"";"1 127 300";"768 513";"12 720";"1 908 533"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79765"
