"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"2020";"2019-2020";"Total since 2015"
"AT";"Constantin (AT)";"10/09/2015";"630 955";"3 080";"";"";"";"";"";"634 035"
"BA";"2iFilm (BA)";"";"";"519";"";"";"";"";"";"519"
"CH";"Pathé Films (CH)";"10/09/2015";"292 291";"1 294";"24";"";"";"";"";"293 609"
"CZ";"CinemArt (CZ)";"29/10/2015";"212 192";"7 068";"384";"349";"";"";"";"219 993"
"DE";"Constantin Film (DE)";"10/09/2015";"7 653 045";"63 069";"15 238";"172";"179";"72";"251";"7 731 775"
"HR";"2iFilm (HR)";"23/06/2016";"";"730";"";"";"";"";"";"730"
"HU";"Big Bang Media";"08/10/2015";"100 297";"1 726";"63";"";"";"";"";"102 086"
"IT";"Medusa Film";"14/09/2016";"";"33 460";"";"";"";"";"";"33 460"
"RU";"Luxor";"28/01/2016";"";"94 199";"";"12";"";"";"";"94 211"
"SI";"2iFilm (SI)";"09/06/2016";"";"360";"";"";"";"";"";"360"
"SK";"CinemaArt (SK)";"29/10/2015";"43 648";"1 649";"60";"";"";"";"";"45 357"
"EUR EU";"";"";"8 640 137";"111 142";"15 745";"521";"179";"72";"251";"8 767 796"
"EUR OBS";"";"";"8 932 428";"207 154";"15 769";"533";"179";"72";"251";"9 156 135"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015"
" - film_id : 64758"
