"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"27/01/2017";"34 579";"";"";"";"34 579"
"BA";"2iFilm (BA)";"";"1 098";"";"";"";"1 098"
"CH";"Frenetic Films (CH)";"26/01/2017";"35 257";"377";"283";"220";"36 137"
"CZ";"CinemArt (CZ)";"23/03/2017";"36 839";"2 337";"448";"324";"39 948"
"DE";"StudioCanal (DE)";"26/01/2017";"813 176";"40 424";"3 928";"511";"858 039"
"EE";"ETD";"10/03/2017";"3 098";"";"";"";"3 098"
"ES";"Flins y piniculas";"14/07/2017";"6 481";"";"";"";"6 481"
"GB";"StudioCanal (GB)";"11/08/2017";"101";"";"";"";"101"
"HR";"2iFilm (HR)";"13/04/2017";"1 825";"";"";"";"1 825"
"HU";"MTVA";"09/11/2017";"11 035";"13";"";"";"11 048"
"LV";"LTD Latvian Theatrical Distribution";"10/03/2017";"2 229";"";"";"";"2 229"
"NL";"Dutch Film Works (Source Investments)";"16/03/2017";"16 090";"432";"";"";"16 522"
"PT";"Cinemundo (PT)";"01/06/2017";"700";"";"";"";"700"
"RU";"Volga (RU)";"16/02/2017";"48 083";"218";"";"";"48 301"
"SI";"2iFilm (SI)";"30/03/2017";"1 165";"";"";"";"1 165"
"SK";"CinemaArt (SK)";"23/03/2017";"7 276";"390";"249";"305";"8 220"
"EUR EU";"";"";"934 594";"43 596";"4 625";"1 140";"983 955"
"EUR OBS";"";"";"1 019 032";"44 191";"4 908";"1 360";"1 069 491"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 72909"
