"Market";"Distributor";"Release date";"2011";"2012";"Total since 2011"
"AT";"Warner Bros. (AT)";"15/09/2011";"77 533";"";"77 533"
"CH";"Warner Bros. (CH)";"29/09/2011";"54 062";"";"54 062"
"DE";"Warner Bros. (DE)";"15/09/2011";"1 352 324";"6 671";"1 358 995"
"MK";"German Embassy (MK)";"19/10/2012";"";"130";"130"
"RU";"Luxor";"23/02/2012";"";"131 481";"131 481"
"EUR EU";"";"";"1 429 857";"6 671";"1 436 528"
"EUR OBS";"";"";"1 483 919";"138 282";"1 622 201"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2012, 2011"
" - film_id : 38364"
