"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin/WildB (AT)";"13/09/2018";"56 344";"1 207";"";"57 551"
"CH";"Filmcoopi Zürich";"27/09/2018";"42 901";"1 970";"";"44 871"
"DE";"Wild Bunch (DE)";"13/09/2018";"518 983";"90 314";"15 999";"625 296"
"DK";"SF Studios (DK)";"29/11/2018";"7 430";"2 645";"";"10 075"
"EE";"Estinfilm";"18/10/2019";"";"6 160";"68";"6 228"
"FI";"SF Film Finland [FS Film]";"23/11/2018";"58 357";"5 213";"";"63 570"
"LU";"";"";"1 384";"83";"";"1 467"
"NO";"SF Norway";"30/11/2018";"12 055";"4 363";"";"16 418"
"PL";"Nowe Horyzonty";"31/07/2020";"";"";"7 554";"7 554"
"RU";"Big Animation Fest (RU)";"19/09/2019";"";"14 280";"";"14 280"
"SE";"Svensk Filmindustri";"05/10/2018";"82 387";"1 488";"";"83 875"
"EUR EU";"";"";"724 885";"107 110";"23 621";"855 616"
"EUR OBS";"";"";"779 841";"127 723";"23 621";"931 185"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 77914"
