"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Filmladen";"22/02/2013";"";"20 287";"211";"";"";"";"";"";"";"";"20 498"
"BE";"Cinemien (BE)";"24/04/2013";"";"24 484";"1 398";"";"";"";"20";"";"";"20";"25 902"
"BG";"Art Fest";"12/04/2013";"";"1 342";"102";"6";"";"141";"";"";"";"141";"1 591"
"CH";"Filmcoopi Zürich";"17/01/2013";"";"40 715";"277";"";"93";"26";"";"157";"";"276";"41 268"
"CY";"Strada Films (CY)";"07/02/2014";"";"";"264";"";"";"";"";"";"";"";"264"
"DE";"NFP Marketing & Distribution";"10/01/2013";"";"470 065";"6 819";"877";"189";"259";"112";"48";"";"608";"478 369"
"EE";"Must Käsi (EE)";"26/04/2013";"";"1 864";"";"";"";"";"";"";"";"";"1 864"
"ES";"Surtsey Films";"05/06/2013";"";"113 759";"1 012";"113";"65";"39";"";"";"";"104";"114 988"
"FR";"Sophie Dulac Distribution (FR)";"24/04/2013";"";"362 702";"7 346";"756";"";"";"";"";"";"";"370 804"
"GB";"Soda Pictures (GB)";"27/09/2013";"";"18 527";"338";"165";"";"";"";"";"";"";"19 030"
"GR";"Strada Films (GR)";"16/05/2013";"";"8 190";"244";"376";"158";"";"";"";"";"158";"8 968"
"HR";"Zagreb Film Festival";"15/12/2013";"";"869";"1 487";"";"";"";"";"";"";"";"2 356"
"HU";"Cirko Film";"03/10/2013";"";"3 831";"294";"";"";"";"";"";"";"";"4 125"
"IE";"Soda Pictures (IE)";"27/09/2013";"";"1 472";"";"";"";"";"";"";"";"";"1 472"
"IT";"Nexo Digital";"27/01/2014";"";"";"52 198";"5 007";"";"517";"";"11";"";"528";"57 733"
"LT";"A-One Films (LT)";"19/04/2013";"";"1 468";"";"";"";"";"";"";"";"";"1 468"
"LU";"";"";"";"";"";"";"";"";"20";"";"";"20";"20"
"LV";"Rijafilms";"";"";"";"181";"";"";"";"";"";"";"";"181"
"NL";"Cinemien";"02/05/2013";"";"49 650";"902";"124";"50";"72";"239";"87";"86";"534";"51 210"
"NO";"Arthaus (NO)";"20/09/2013";"";"17 461";"120";"";"36";"64";"";"";"39";"139";"17 720"
"PL";"Aurora Films";"24/01/2014";"";"";"11 324";"455";"";"";"2 411";"";"";"2 411";"14 190"
"PT";"Alambique";"03/10/2013";"";"22 285";"309";"";"";"";"";"";"";"";"22 594"
"RO";"Asociatia Culturala Macondo";"24/05/2013";"";"2 206";"50";"";"";"";"";"";"";"";"2 256"
"SE";"Folkets Bio";"01/02/2013";"";"20 606";"197";"26";"";"";"";"";"";"";"20 829"
"SI";"Demiurg";"09/11/2012";"710";"3 564";"129";"31";"";"";"";"";"";"";"4 434"
"EUR EU";"";"";"710";"1 127 171";"84 805";"7 936";"462";"1 028";"2 802";"146";"86";"4 524";"1 225 146"
"EUR OBS";"";"";"710";"1 185 347";"85 202";"7 936";"591";"1 118";"2 802";"303";"125";"4 939";"1 284 134"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 39302"
