"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Universal Pictures (AT)";"25/09/2014";"72 541";"";"";"";"";"";"";"";"72 541"
"BA";"Una Film";"";"";"4 383";"";"";"";"";"";"";"4 383"
"BG";"Pro Films (BG)";"08/05/2015";"";"43 731";"";"";"10";"";"";"10";"43 741"
"CH";"Universal Pictures (CH)";"25/09/2014";"22 279";"";"";"";"";"";"";"";"22 279"
"CZ";"Bioscop (AQS)";"02/10/2014";"46 552";"7 893";"37";"";"241";"295";"200";"736";"55 218"
"DE";"Universal Pictures (DE)";"25/09/2014";"412 286";"1 681";"";"";"";"";"";"";"413 967"
"EE";"VaataFilmi/Forum Distribution (EE)";"19/12/2014";"14 403";"8 315";"";"";"";"";"";"";"22 718"
"ES";"Flins y piniculas";"10/04/2015";"";"26 549";"729";"113";"";"";"";"";"27 391"
"GB";"Signature Entertainment";"13/02/2015";"";"13 201";"";"";"";"";"";"";"13 201"
"HR";"Editus (HR)";"07/05/2015";"";"10 032";"";"";"";"";"36";"36";"10 068"
"HU";"ADS";"26/03/2015";"";"14 768";"145";"";"";"";"";"";"14 913"
"IS";"Samfilm";"04/11/2016";"";"";"2 255";"94";"";"";"";"";"2 349"
"IT";"Microcinema";"30/04/2015";"";"108 434";"";"";"";"";"";"";"108 434"
"LT";"Theatrical Film Distribution (LT)";"15/05/2015";"";"33 613";"";"";"";"";"";"";"33 613"
"LV";"Forum Cinemas (LV)";"19/12/2014";"14 873";"4 508";"";"";"";"";"";"";"19 381"
"ME";"";"";"";"983";"983";"";"";"";"";"";"1 966"
"PL";"Kino Swiat";"14/11/2014";"303 575";"7 592";"";"";"";"";"";"";"311 167"
"PT";"Pris Audiovisuais";"02/10/2014";"38 312";"823";"33";"";"";"";"";"";"39 168"
"RO";"Cine Europa (RO)";"25/03/2016";"";"";"10 858";"864";"1 790";"320";"222";"2 332";"14 054"
"RU";"Central Partnership (RU)";"28/08/2014";"392 917";"";"";"";"";"";"";"";"392 917"
"SI";"Karantanija Cinemas";"05/02/2015";"";"28 399";"";"";"104";"";"";"104";"28 503"
"SK";"Magic Box Slovakia";"02/10/2014";"25 178";"4 369";"130";"87";"243";"";"26";"269";"30 033"
"TR";"Mars Dagitim";"30/01/2015";"";"157 686";"257";"";"";"";"";"";"157 943"
"EUR EU";"";"";"927 720";"313 908";"11 932";"1 064";"2 388";"615";"484";"3 487";"1 258 111"
"EUR OBS";"";"";"1 342 916";"476 960";"15 427";"1 158";"2 388";"615";"484";"3 487";"1 839 948"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48706"
