"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"Total since 2015"
"AT";"Sony Pictures (AT)";"18/12/2015";"70 050";"78 691";"";"";"148 741"
"DE";"Sony Pictures Releasing (DE)";"17/12/2015";"479 643";"627 200";"1 790";"";"1 108 633"
"EE";"Estinfilm";"26/02/2016";"";"6 426";"";"25";"6 451"
"MK";"Uzengija (MK)";"14/12/2017";"";"";"218";"495";"713"
"EUR EU";"";"";"549 693";"712 317";"1 790";"25";"1 263 825"
"EUR OBS";"";"";"549 693";"712 317";"2 008";"520";"1 264 538"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015"
" - film_id : 64764"
