"Market";"Distributor";"Release date";"2014";"2015";"2016";"2018";"Total since 2014"
"AT";"Constantin Film (AT)";"02/10/2014";"70 581";"";"";"";"70 581"
"CH";"Pathé Films (CH)";"02/10/2014";"28 208";"";"";"";"28 208"
"DE";"Constantin Film (DE)";"02/10/2014";"1 174 953";"6 324";"237";"27";"1 181 541"
"EUR EU";"";"";"1 245 534";"6 324";"237";"27";"1 252 122"
"EUR OBS";"";"";"1 273 742";"6 324";"237";"27";"1 280 330"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2016, 2015, 2014"
" - film_id : 48886"
