"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2014";"2015";"2016";"2010-2016";"Total since 2006"
"AT";"Luna Film";"17/11/2006";"49 839";"55 275";"1 913";"291";"";"";"";"";"";"";"";"107 318"
"CH";"Filmcoopi Zürich";"25/01/2007";"";"4 063";"117";"11";"189";"8";"5";"";"";"";"202";"4 393"
"DE";"Movienet Film";"10/08/2006";"1 256 459";"442 787";"13 352";"17 599";"";"";"";"1 060";"599";"1 756";"3 415";"1 733 612"
"NO";"";"";"";"259";"";"";"";"";"";"";"";"";"";"259"
"EUR EU";"";"";"1 306 298";"498 062";"15 265";"17 890";"";"";"";"1 060";"599";"1 756";"3 415";"1 840 930"
"EUR OBS";"";"";"1 306 298";"502 384";"15 382";"17 901";"189";"8";"5";"1 060";"599";"1 756";"3 617";"1 845 582"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2016, 2015, 2014, 2012, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26056"
