"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Thimfilm";"14/08/2014";"28 714";"1 007";"29";"";"";"";"";"";"29 750"
"CH";"Filmcoopi Zürich";"17/07/2014";"53 886";"26";"127";"";"71";"";"100";"171";"54 210"
"DE";"X-Verleih";"17/07/2014";"880 268";"49 679";"3 894";"508";"949";"196";"208";"1 353";"935 702"
"EUR EU";"";"";"908 982";"50 686";"3 923";"508";"949";"196";"208";"1 353";"965 452"
"EUR OBS";"";"";"962 868";"50 712";"4 050";"508";"1 020";"196";"308";"1 524";"1 019 662"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 48890"
