"Market";"Distributor";"Release date";"2017";"2018";"2019";"2020";"Total since 2017"
"AT";"Constantin Film (AT)";"03/08/2017";"148 112";"";"";"";"148 112"
"CH";"Pathé Films (CH)";"23/11/2017";"219";"";"183";"23";"425"
"DE";"Constantin Film (DE)";"03/08/2017";"830 925";"14 476";"204";"407";"846 012"
"EUR EU";"";"";"979 037";"14 476";"204";"407";"994 124"
"EUR OBS";"";"";"979 256";"14 476";"387";"430";"994 549"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017"
" - film_id : 73915"
