"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2011";"2014";"2015";"2016";"2017";"2018";"2010-2018";"Total since 2006"
"AT";"Constantin Film (AT)";"09/02/2006";"86 625";"49";"";"";"";"";"";"";"";"";"";"";"86 674"
"CH";"Rialto Film (CH)";"09/02/2006";"26 957";"63";"109";"";"";"35";"";"";"";"32";"";"67";"27 196"
"DE";"Constantin Film (DE)";"09/02/2006";"1 171 015";"";"";"";"";"";"189";"32";"25";"165";"168";"579";"1 171 594"
"LI";"";"";"";"71";"";"";"";"";"";"";"";"";"";"";"71"
"NO";"";"";"";"141";"";"";"";"";"";"";"";"";"";"";"141"
"RO";"Clorofilm";"11/12/2008";"";"";"";"3 028";"240";"";"";"";"";"";"";"240";"3 268"
"EUR EU";"";"";"1 257 640";"49";"";"3 028";"240";"";"189";"32";"25";"165";"168";"819";"1 261 536"
"EUR OBS";"";"";"1 284 597";"324";"109";"3 028";"240";"35";"189";"32";"25";"197";"168";"886";"1 288 944"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2011, 2010, 2009, 2008, 2007, 2006"
" - film_id : 26057"
