"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin/Studiocanal";"01/02/2018";"132 725";"";"";"132 725"
"BE";"Kinepolis Film Distribution (BE)";"25/07/2018";"12 551";"";"";"12 551"
"CH";"Walt Disney (CH)";"01/02/2018";"123 861";"72";"";"123 933"
"CZ";"Bohemia Motion Pictures (CZ)";"13/09/2018";"31 872";"6 007";"450";"38 329"
"DE";"StudioCanal (DE)";"01/02/2018";"1 582 668";"90 100";"15 636";"1 688 404"
"ES";"Flins y piniculas";"19/10/2018";"3 407";"976";"";"4 383"
"LU";"";"";"270";"";"";"270"
"NL";"Dutch Film Works (Source Investments)";"18/07/2018";"43 971";"79";"";"44 050"
"PL";"Vivarto";"26/10/2018";"9 645";"3 425";"";"13 070"
"TR";"Chantier Films";"25/05/2018";"16 758";"";"";"16 758"
"EUR EU";"";"";"1 817 109";"100 587";"16 086";"1 933 782"
"EUR OBS";"";"";"1 957 728";"100 659";"16 086";"2 074 473"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 78533"
