"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Sony Pictures (AT)";"01/11/2018";"13 598";"";"";"13 598"
"CH";"Sony Pictures (CH)";"08/11/2018";"11 382";"846";"175";"12 403"
"CZ";"Asociace českých film. Klubů (CZ)";"09/01/2020";"";"169";"2 148";"2 317"
"DE";"Sony Pictures Releasing (DE)";"31/10/2018";"855 040";"241 854";"33 144";"1 130 038"
"HU";"ADS";"25/07/2019";"";"2 288";"25";"2 313"
"SK";"ASFK";"30/01/2020";"";"";"1 102";"1 102"
"EUR EU";"";"";"868 638";"244 311";"36 419";"1 149 368"
"EUR OBS";"";"";"880 020";"245 157";"36 594";"1 161 771"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79788"
