"Market";"Distributor";"Release date";"2003";"2004";"2005";"2006";"2007";"2018";"2007-2018";"Total since 2003"
"AT";"Polyfilm";"02/08/2003";"";"";"";"";"";"1 105";"1 105";"1 105"
"CH";"";"";"";"7 132";"";"";"";"";"";"7 132"
"DE";"Buena Vista (DE)";"02/10/2003";"835 175";"107 764";"13 023";"";"";"";"";"955 962"
"ES";"Flins y piniculas";"24/01/2005";"";"";"14 698";"73";"476";"";"476";"15 247"
"NL";"Walt Disney Studios Motion Pictures (NL)";"";"";"";"";"";"141";"";"141";"141"
"SI";"Ljubljanski Kinematografi";"15/06/2005";"";"";"";"";"89";"";"89";"89"
"EUR EU";"";"";"835 175";"107 764";"27 721";"73";"706";"1 105";"1 811";"972 544"
"EUR OBS";"";"";"835 175";"114 896";"27 721";"73";"706";"1 105";"1 811";"979 676"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2007, 2006, 2005, 2004, 2003"
" - film_id : 20798"
