"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2020";"2009-2020";"Total since 2005"
"AT";"Filmladen";"25/02/2005";"69 083";"944";"";"125";"";"";"";"";"";"";"";"";"";"";"";"70 152"
"BE";"ABC Distribution";"07/09/2005";"15 134";"5 732";"3 259";"760";"";"";"";"";"";"";"";"";"";"";"";"24 885"
"BG";"Vadi Van Kris";"";"";"";"4 370";"";"";"";"";"";"";"";"";"";"";"";"";"4 370"
"CH";"Filmcoopi Zürich";"17/03/2005";"39 813";"";"28";"104";"129";"";"";"20";"";"124";"";"135";"";"";"408";"40 353"
"DE";"X-Verleih";"24/02/2005";"1 096 026";"63 030";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 159 056"
"DK";"Miracle Film";"23/09/2005";"14 113";"3 941";"209";"59";"";"";"";"";"";"";"";"";"";"";"";"18 322"
"EE";"Estinfilm";"28/10/2005";"1 048";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 048"
"ES";"Lolafilms Distribucion";"20/02/2006";"";"40 547";"739";"";"";"";"";"";"40";"";"";"";"89";"";"129";"41 415"
"FI";"Future Film (FI)";"23/09/2005";"3 736";"550";"10";"";"";"";"";"";"";"";"";"";"";"";"";"4 296"
"FR";"Les Acacias";"12/04/2006";"";"83 349";"";"";"";"";"";"";"";"";"";"";"";"";"";"83 349"
"GB";"ICA Films";"28/10/2005";"14 219";"3 379";"";"";"";"";"";"";"";"";"";"";"";"";"";"17 598"
"GR";"2-1-0 Films";"26/10/2006";"";"5 157";"";"";"";"";"";"";"";"";"";"";"";"";"";"5 157"
"HU";"Best Hollywood";"16/02/2006";"";"9 443";"139";"40";"";"";"";"";"";"";"";"";"";"";"";"9 622"
"IE";"ICA Projects (IE)";"28/10/2005";"1 324";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1 324"
"IT";"Istituto Luce";"28/10/2005";"115 692";"41 469";"3 242";"572";"";"376";"";"83";"76";"";"";"";"4";"80";"619";"161 594"
"NL";"Cinemien";"15/09/2005";"27 271";"7 070";"850";"";"";"";"";"";"";"";"";"";"";"";"";"35 191"
"NO";"Oro Film";"24/02/2006";"";"13 153";"180";"";"9";"";"";"";"";"";"";"";"";"";"9";"13 342"
"PL";"Kino Swiat";"20/01/2006";"";"12 044";"";"";"1 320";"";"";"";"";"";"";"";"";"";"1 320";"13 364"
"PT";"Pris Audiovisuais";"26/05/2005";"4 230";"";"10";"";"";"";"55";"";"";"";"207";"";"";"";"262";"4 502"
"RO";"Moebius";"";"";"78";"";"";"";"";"";"";"";"";"";"";"";"";"";"78"
"SE";"Atlantic Film (SE)";"02/09/2005";"10 400";"";"22";"";"";"";"";"";"";"42";"";"";"";"";"42";"10 464"
"SI";"Cinemania Group";"12/01/2006";"644";"2 105";"";"";"172";"";"";"";"";"114";"";"";"";"";"286";"3 035"
"EUR EU";"";"";"1 372 920";"278 838";"12 850";"1 556";"1 492";"376";"55";"83";"116";"156";"207";"";"93";"80";"2 658";"1 668 822"
"EUR OBS";"";"";"1 412 733";"291 991";"13 058";"1 660";"1 630";"376";"55";"103";"116";"280";"207";"135";"93";"80";"3 075";"1 722 517"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2018, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24243"
