"Market";"Distributor";"Release date";"2015";"2016";"2017";"2018";"2019";"Total since 2015"
"AT";"Constantin Film (AT)";"30/01/2015";"81 091";"";"";"";"";"81 091"
"CH";"Pathé Films (CH)";"29/01/2015";"39 359";"";"";"";"";"39 359"
"DE";"Constantin Film (DE)";"29/01/2015";"1 041 001";"1 356";"166";"138";"65";"1 042 726"
"DK";"Angel Films";"24/10/2016";"";"338";"2 981";"";"";"3 319"
"ES";"Flins y piniculas";"13/11/2015";"6 965";"1 969";"198";"";"";"9 132"
"EUR EU";"";"";"1 129 057";"3 663";"3 345";"138";"65";"1 136 268"
"EUR OBS";"";"";"1 168 416";"3 663";"3 345";"138";"65";"1 175 627"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015"
" - film_id : 56234"
