"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Filmladen";"24/09/2009";"65 612";"44 092";"";"";"";"";"";"";"";"";"";"";"";"109 704"
"BE";"Cineart (BE)";"25/03/2009";"45 832";"16 834";"1 298";"15";"";"";"";"";"";"";"";"";"";"63 979"
"BG";"Art Fest";"17/09/2010";"";"1 950";"";"";"73";"2";"";"";"";"";"";"";"75";"2 025"
"CH";"Filmcoopi Zürich";"21/10/2009";"58 146";"17 279";"96";"";"277";"161";"";"21";"18";"4";"";"41";"522";"76 043"
"CY";"Rosebud (CY)";"26/02/2010";"";"1 644";"";"";"";"";"";"";"";"";"";"";"";"1 644"
"CZ";"Artcam";"14/01/2010";"";"12 538";"425";"389";"141";"";"104";"50";"";"";"";"";"295";"13 647"
"DE";"X-Verleih";"15/10/2009";"396 444";"272 381";"5 247";"792";"";"1 022";"485";"185";"129";"209";"60";"";"2 090";"676 954"
"DK";"Camera Film";"14/01/2010";"112";"28 505";"24";"";"";"";"";"";"";"";"";"";"";"28 641"
"EE";"MTÜ Otaku (EE)";"07/05/2010";"";"1 381";"";"";"";"";"";"";"";"";"";"";"";"1 381"
"ES";"Golem Distribucion";"12/01/2010";"";"282 245";"1 639";"";"46";"";"";"100";"";"57";"53";"";"256";"284 140"
"FI";"Future Film (FI)";"12/03/2010";"";"4 995";"";"";"";"";"";"";"";"";"";"";"";"4 995"
"FR";"Les Films du Losange";"21/10/2009";"600 082";"55 921";"";"";"";"";"";"";"";"";"";"";"";"656 003"
"GB";"Curzon Artificial Eye (GB)";"13/11/2009";"89 947";"27 154";"";"";"";"188";"46";"";"39";"";"";"";"273";"117 374"
"GR";"Rosebud";"29/10/2009";"";"19 505";"285";"50";"";"";"";"";"";"";"";"";"";"19 840"
"HR";"Continental Film (HR)";"08/03/2010";"";"2 866";"35";"";"";"";"";"";"";"";"";"";"";"2 901"
"HU";"Cirko Film";"18/02/2010";"";"5 228";"";"";"";"";"";"";"";"";"";"";"";"5 228"
"IE";"Artificial Eye Film Company (IE)";"13/11/2009";"";"2 426";"";"";"";"";"";"";"";"";"";"";"";"2 426"
"IT";"Lucky Red";"30/10/2009";"98 465";"50 005";"4 000";"11";"42";"";"";"";"";"";"";"";"42";"152 523"
"LT";"Planeta (LT)";"26/11/2010";"";"966";"849";"258";"266";"149";"";"";"";"";"";"";"415";"2 488"
"LU";"Cineart (LU)";"15/10/2009";"";"777";"";"";"";"";"";"";"";"";"";"";"";"777"
"LV";"Rigas Nami";"";"";"";"17";"";"";"";"";"";"";"";"";"";"";"17"
"NL";"Cinéart Nederland";"19/11/2009";"53 579";"63 066";"199";"40";"228";"12";"";"41";"";"";"42";"";"323";"117 207"
"NO";"Arthaus (NO)";"26/12/2009";"3 910";"20 050";"";"";"";"40";"";"";"";"";"";"";"40";"24 000"
"PL";"Monolith";"20/11/2009";"25 150";"24 936";"592";"175";"";"";"";"";"";"";"";"";"";"50 853"
"PT";"Clap Filmes";"14/01/2010";"";"21 686";"30";"106";"166";"";"62";"";"";"";"";"";"228";"22 050"
"RO";"IF-Independenta Film";"07/05/2010";"";"3 498";"34";"";"40";"";"";"26";"";"";"";"";"66";"3 598"
"RU";"Cinema Without Frontiers";"04/03/2010";"";"11 339";"";"";"";"";"";"";"";"";"";"";"";"11 339"
"SE";"Folkets Bio";"18/12/2009";"5 790";"19 818";"128";"43";"";"6";"64";"";"";"";"";"";"70";"25 849"
"SI";"Continental Film (SI)";"01/07/2010";"";"1 154";"8";"";"";"";"";"";"";"";"";"";"";"1 162"
"SK";"ASFK";"09/09/2010";"";"2 671";"675";"44";"135";"11";"136";"90";"";"";"";"";"372";"3 762"
"TR";"Wega Film";"30/04/2010";"";"3 279";"";"";"";"";"";"";"";"";"";"";"";"3 279"
"EUR EU";"";"";"1 381 013";"968 242";"15 485";"1 923";"1 137";"1 390";"897";"492";"168";"266";"155";"";"4 505";"2 371 168"
"EUR OBS";"";"";"1 443 069";"1 020 189";"15 581";"1 923";"1 414";"1 591";"897";"513";"186";"270";"155";"41";"5 067";"2 485 829"
"US_CA";"Sony Classics (US)";"30/12/2009";"";"278 429";"";"";"";"";"";"";"";"";"";"";"";"278 429"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 31763"
