"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2010";"2014";"2015";"2016";"2017";"2009-2017";"Total since 2005"
"AT";"Buena Vista (AT)";"03/11/2005";"114 090";"10 741";"";"";"";"";"";"";"";"";"";"124 831"
"CH";"Walt Disney (CH)";"30/11/2005";"";"8 690";"124";"78";"10";"16";"";"";"";"";"26";"8 918"
"DE";"Walt Disney Studios (DE)";"03/11/2005";"1 102 720";"155 692";"8 374";"";"";"";"940";"411";"1 401";"139";"2 891";"1 269 677"
"ES";"Flins y piniculas";"22/11/2006";"";"33 417";"856";"";"";"147";"";"";"";"";"147";"34 420"
"LU";"";"";"10 100";"";"";"";"";"";"";"";"";"";"";"10 100"
"NL";"Walt Disney Studios Motion Pictures (NL)";"13/12/2006";"";"3 715";"1 130";"23";"79";"";"";"";"";"";"79";"4 947"
"EUR EU";"";"";"1 226 910";"203 565";"10 360";"23";"79";"147";"940";"411";"1 401";"139";"3 117";"1 443 975"
"EUR OBS";"";"";"1 226 910";"212 255";"10 484";"101";"89";"163";"940";"411";"1 401";"139";"3 143";"1 452 893"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2016, 2015, 2014, 2010, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24244"
