"Market";"Distributor";"Release date";"2006";"2007";"2009";"2015";"Total since 2006"
"AT";"Walt Disney (AT)";"30/03/2006";"123 561";"";"";"";"123 561"
"CH";"Buena Vista (CH)";"09/03/2006";"66 857";"";"";"";"66 857"
"DE";"Walt Disney Studios (DE)";"02/03/2006";"2 126 633";"";"";"39";"2 126 672"
"ES";"Flins y piniculas";"14/02/2007";"";"12 021";"";"";"12 021"
"LU";"";"03/03/2006";"9 400";"";"";"";"9 400"
"NL";"Walt Disney Studios Motion Pictures (NL)";"11/10/2006";"59 336";"";"104";"";"59 440"
"PT";"Costa do Castelo Filmes";"09/11/2006";"2 175";"";"";"";"2 175"
"EUR EU";"";"";"2 321 105";"12 021";"104";"39";"2 333 269"
"EUR OBS";"";"";"2 387 962";"12 021";"104";"39";"2 400 126"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2015, 2009, 2007, 2006"
" - film_id : 26053"
