"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Filmladen";"15/07/2016";"55 899";"19 834";"";"";"";"75 733"
"BA";"MCF (BA)";"08/12/2016";"216";"172";"";"";"";"388"
"BE";"September Film Distribution (BE)";"22/06/2016";"40 283";"4 830";"";"";"";"45 113"
"BG";"Art Fest";"31/03/2017";"";"2 568";"13";"130";"";"2 711"
"CH";"Filmcoopi Zürich";"21/07/2016";"53 691";"2 571";"18";"";"46";"56 326"
"CZ";"Film Europe (CZ)";"20/10/2016";"14 688";"4 245";"223";"52";"81";"19 289"
"DE";"NFP Marketing & Distribution";"14/07/2016";"775 604";"128 086";"3 108";"29";"";"906 827"
"DK";"Camera Film";"01/12/2016";"72 899";"35 130";"22";"";"";"108 051"
"EE";"A-One Films Estonia (EE)";"09/09/2016";"3 800";"1 153";"42";"";"";"4 995"
"ES";"Golem Distribucion";"17/01/2017";"83";"95 772";"1 289";"22";"";"97 166"
"FI";"Future Film (FI)";"16/12/2016";"6 081";"8 869";"";"";"";"14 950"
"FR";"Haut et Court";"17/08/2016";"344 180";"";"";"";"";"344 180"
"GB";"Thunderbird (GB)";"03/02/2017";"";"74 712";"";"";"";"74 712"
"GR";"Seven Films";"27/10/2016";"28 955";"5 176";"448";"";"";"34 579"
"HR";"Discovery (HR)";"24/10/2016";"990";"1 442";"";"";"";"2 432"
"HU";"Cirko Film";"29/09/2016";"9 770";"1 590";"98";"51";"12";"11 521"
"IS";"Heimili Kvikmyndanna - Bíó Paradís";"09/02/2017";"";"1 745";"71";"";"";"1 816"
"IT";"Cinema (IT)";"02/03/2017";"";"88 382";"";"";"";"88 382"
"LT";"A-One Films (LT)";"16/08/2016";"2 795";"450";"";"";"";"3 245"
"LU";"September Film Distribution (LU)";"17/08/2016";"3 030";"";"";"";"";"3 030"
"LV";"A-One Films Baltic (LV)";"28/10/2016";"2 201";"539";"";"";"";"2 740"
"ME";"MCF MNE";"08/12/2016";"12";"";"";"";"";"12"
"NL";"September Film Distribution (NL)";"10/11/2016";"57 273";"30 101";"98";"161";"29";"87 662"
"NO";"Arthaus (NO)";"25/12/2016";"9 112";"18 211";"";"35";"3";"27 361"
"PL";"Gutek Film";"27/01/2017";"";"80 097";"1 870";"298";"";"82 265"
"PT";"Alambique";"16/02/2017";"";"7 757";"13";"";"";"7 770"
"RO";"Micro Film (RO)";"21/10/2016";"5 490";"993";"";"";"";"6 483"
"RU";"Russian Report";"23/02/2017";"";"17 263";"";"";"";"17 263"
"SE";"TriArt Film";"30/09/2016";"68 288";"15 444";"";"";"";"83 732"
"SI";"Fivia";"15/12/2016";"5 589";"4 502";"";"";"";"10 091"
"SK";"Film Europe (SK)";"27/10/2016";"3 011";"1 552";"6";"";"11";"4 580"
"TR";"BS Dagitim (TR)";"03/02/2017";"";"6 560";"";"";"";"6 560"
"EUR EU";"";"";"1 500 909";"613 224";"7 230";"743";"133";"2 122 239"
"EUR OBS";"";"";"1 563 940";"659 746";"7 319";"778";"182";"2 231 965"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 68092"
