"Market";"Distributor";"Release date";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2018-2020";"Total since 2014"
"AT";"Wild Bunch (AT)";"14/03/2014";"61 225";"2 870";"192";"";"";"";"";"";"64 287"
"BG";"Pro Films (BG)";"25/12/2015";"";"4 626";"4 334";"";"358";"";"";"358";"9 318"
"CH";"Praesens Film";"13/03/2014";"29 537";"492";"33";"159";"";"";"";"";"30 221"
"DE";"Senator Film Verleih";"13/03/2014";"648 443";"53 138";"12 227";"5 059";"2 828";"3 806";"1 615";"8 249";"727 116"
"DK";"SF Film (DK)";"02/10/2014";"47 354";"";"";"";"";"";"";"";"47 354"
"EE";"Estinfilm";"07/11/2014";"10 832";"1 149";"50";"";"";"";"";"";"12 031"
"FI";"SF Film Finland [FS Film]";"12/09/2014";"68 532";"940";"718";"54";"";"19";"";"19";"70 263"
"NO";"SF Norway";"05/09/2014";"59 492";"4 019";"56";"";"";"";"";"";"63 567"
"PL";"Nowe Horyzonty";"28/08/2020";"";"";"";"";"";"";"2 513";"2 513";"2 513"
"RU";"Big Animation Fest (RU)";"23/03/2017";"";"";"";"18 757";"6 372";"";"";"6 372";"25 129"
"SE";"SF Film (SE)";"01/08/2014";"114 119";"1 626";"22";"";"";"";"";"";"115 767"
"TR";"Ozen Film";"14/07/2017";"";"";"";"1 472";"95";"";"";"95";"1 567"
"EUR EU";"";"";"950 505";"64 349";"17 543";"5 113";"3 186";"3 825";"4 128";"11 139";"1 048 649"
"EUR OBS";"";"";"1 039 534";"68 860";"17 632";"25 501";"9 653";"3 825";"4 128";"17 606";"1 169 133"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014"
" - film_id : 47383"
