"Market";"Distributor";"Release date";"2008";"2014";"Total since 2008"
"AT";"Walt Disney (AT)";"17/04/2008";"79 940";"";"79 940"
"CH";"Walt Disney (CH)";"17/04/2008";"40 698";"";"40 698"
"DE";"Walt Disney Studios (DE)";"17/04/2008";"1 009 894";"127";"1 010 021"
"EUR EU";"";"";"1 089 834";"127";"1 089 961"
"EUR OBS";"";"";"1 130 532";"127";"1 130 659"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2014, 2008"
" - film_id : 30499"
