"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2014";"2015";"2016";"2017";"2018";"2019";"2014-2019";"Total since 2007"
"AT";"Constantin Film (AT)";"05/04/2007";"67 009";"53";"";"";"";"";"";"";"";"";"";"67 062"
"CH";"Rialto Film (CH)";"05/04/2007";"27 177";"";"";"";"";"";"";"31";"";"";"31";"27 208"
"DE";"Constantin Film (DE)";"05/04/2007";"1 003 217";"";"";"";"107";"27";"82";"12";"92";"25";"345";"1 003 562"
"RO";"Clorofilm";"13/03/2009";"";"";"5 387";"240";"";"";"";"";"";"";"";"5 627"
"EUR EU";"";"";"1 070 226";"53";"5 387";"240";"107";"27";"82";"12";"92";"25";"345";"1 076 251"
"EUR OBS";"";"";"1 097 403";"53";"5 387";"240";"107";"27";"82";"43";"92";"25";"376";"1 103 459"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2017, 2016, 2015, 2014, 2010, 2009, 2008, 2007"
" - film_id : 28406"
