"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Constantin (AT)";"09/08/2018";"193 183";"";"";"193 183"
"CH";"Pathé Films (CH)";"09/08/2018";"609";"";"34";"643"
"DE";"Constantin Film (DE)";"09/08/2018";"1 004 707";"16 263";"973";"1 021 943"
"EUR EU";"";"";"1 197 890";"16 263";"973";"1 215 126"
"EUR OBS";"";"";"1 198 499";"16 263";"1 007";"1 215 769"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79882"
