"Market";"Distributor";"Release date";"2009";"Total since 2009"
"AT";"Constantin Film (AT)";"20/03/2009";"44 383";"44 383"
"CH";"Pathé Films (CH)";"26/03/2009";"3 403";"3 403"
"DE";"Constantin Film (DE)";"19/03/2009";"1 811 614";"1 811 614"
"EUR EU";"";"";"1 855 997";"1 855 997"
"EUR OBS";"";"";"1 859 400";"1 859 400"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2009"
" - film_id : 33439"
