"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Constantin Film (AT)";"27/01/2012";"82 217";"384";"";"100";"";"";"";"";"";"";"82 701"
"CH";"Pathé Films (CH)";"26/01/2012";"30 432";"176";"";"";"";"";"";"";"";"";"30 608"
"DE";"Constantin Film (DE)";"26/01/2012";"1 042 780";"";"308";"190";"410";"1 305";"89";"190";"332";"2 326";"1 045 604"
"ES";"Flins y piniculas";"07/06/2013";"";"6 203";"13";"679";"353";"";"25";"";"";"378";"7 273"
"EUR EU";"";"";"1 124 997";"6 587";"321";"969";"763";"1 305";"114";"190";"332";"2 704";"1 135 578"
"EUR OBS";"";"";"1 155 429";"6 763";"321";"969";"763";"1 305";"114";"190";"332";"2 704";"1 166 186"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 40856"
