"Market";"Distributor";"Release date";"2000";"2001";"2003";"2004";"2005";"2014";"2018";"2019";"2005-2019";"Total since 2000"
"AT";"";"";"31 856";"";"";"";"";"";"";"";"";"31 856"
"BE";"";"";"17 598";"";"";"";"";"";"";"";"";"17 598"
"CH";"";"";"56 063";"";"";"";"";"";"";"";"";"56 063"
"CZ";"Hollywood";"28/09/2000";"26 003";"";"697";"639";"221";"";"";"";"221";"27 560"
"DE";"Concorde Filmverleih";"10/02/2000";"301 109";"";"";"";"";"";"14";"16";"30";"301 139"
"DK";"";"";"10 109";"214";"";"";"";"";"";"";"";"10 323"
"ES";"";"";"260 987";"99";"";"159";"";"";"";"";"";"261 245"
"FR";"";"";"290 069";"1 087";"";"";"";"";"";"";"";"291 156"
"GB";"";"";"20 443";"";"";"";"";"";"";"";"";"20 443"
"HU";"";"";"38 976";"";"";"";"";"";"";"";"";"38 976"
"IS";"";"";"3 024";"";"";"";"";"";"";"";"";"3 024"
"IT";"Medusa Film";"31/03/2000";"781 517";"3 534";"";"";"50";"23";"";"";"73";"785 124"
"NL";"A-Film (NL)";"18/05/2000";"8 576";"";"";"";"";"";"";"";"";"8 576"
"PL";"";"";"93 280";"";"";"";"";"";"";"";"";"93 280"
"SE";"";"";"5 058";"";"";"";"";"";"";"";"";"5 058"
"TR";"";"";"69 938";"";"";"";"";"";"";"";"";"69 938"
"EUR EU";"";"";"1 885 581";"4 934";"697";"798";"271";"23";"14";"16";"324";"1 892 334"
"EUR OBS";"";"";"2 014 606";"4 934";"697";"798";"271";"23";"14";"16";"324";"2 021 359"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2014, 2005, 2004, 2003, 2001, 2000"
" - film_id : 15318"
