"Market";"Distributor";"Release date";"2000";"2001";"2003";"2006";"2007";"Total since 2000"
"AT";"";"";"88 146";"";"";"";"";"88 146"
"CH";"";"";"60 033";"";"";"";"";"60 033"
"DE";"";"";"1 666 031";"";"";"";"";"1 666 031"
"HU";"";"";"";"173 071";"112";"";"";"173 183"
"IT";"Mediafilm";"28/06/2007";"";"";"";"";"18 937";"18 937"
"SI";"Ljubljanski Kinematografi";"14/06/2001";"";"";"";"95";"43";"138"
"EUR EU";"";"";"1 754 177";"173 071";"112";"95";"18 980";"1 946 435"
"EUR OBS";"";"";"1 814 210";"173 071";"112";"95";"18 980";"2 006 468"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2007, 2006, 2003, 2001, 2000"
" - film_id : 15473"
