"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Constantin Film (AT)";"16/09/2016";"30 367";"3 749";"";"353";"";"34 469"
"BE";"September Film Distribution (BE)";"01/11/2017";"";"1 136";"1 490";"96";"";"2 722"
"CH";"Pathé Films (CH)";"15/09/2016";"22 145";"1 149";"356";"409";"";"24 059"
"DE";"StudioCanal (DE)";"15/09/2016";"715 766";"146 882";"33 165";"13 816";"2 943";"912 572"
"DK";"Angel Films";"20/09/2018";"";"";"17 384";"7 593";"";"24 977"
"EE";"Must Käsi (EE)";"26/05/2017";"";"782";"";"";"";"782"
"ES";"Golem Distribucion";"19/05/2017";"";"18 747";"407";"163";"";"19 317"
"GB";"StudioCanal (GB)";"23/06/2017";"";"715";"";"";"";"715"
"GR";"Seven Films";"09/03/2017";"";"6 294";"";"";"";"6 294"
"LT";"Europos kinas";"07/04/2017";"";"112";"";"";"";"112"
"LV";"Getes Instituts";"07/05/2017";"";"260";"";"";"";"260"
"NL";"September Film Distribution (NL)";"12/10/2017";"";"3 281";"2 023";"1 064";"118";"6 486"
"PL";"Bomba Film";"13/10/2017";"";"13 996";"8 465";"1 073";"";"23 534"
"SI";"Fivia";"04/06/2017";"";"1 424";"1 058";"595";"";"3 077"
"TR";"Bir Film";"30/09/2016";"16 843";"4 087";"380";"";"";"21 310"
"EUR EU";"";"";"746 133";"197 378";"63 992";"24 753";"3 061";"1 035 317"
"EUR OBS";"";"";"785 121";"202 614";"64 728";"25 162";"3 061";"1 080 686"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 67948"
