"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"Total since 2005"
"AT";"Buena Vista (AT)";"24/02/2005";"73 855";"";"";"";"73 855"
"CH";"";"";"37 385";"";"";"";"37 385"
"DE";"Buena Vista (DE)";"17/02/2005";"1 579 812";"";"";"";"1 579 812"
"ES";"Flins y piniculas";"09/02/2006";"";"9 374";"706";"";"10 080"
"NL";"Walt Disney Studios Motion Pictures (NL)";"29/08/2007";"";"";"2";"49";"51"
"PT";"Costa do Castelo Filmes";"09/11/2006";"";"2 230";"29";"";"2 259"
"SI";"Ljubljanski Kinematografi";"30/06/2005";"";"121";"";"";"121"
"EUR EU";"";"";"1 653 667";"11 725";"737";"49";"1 666 178"
"EUR OBS";"";"";"1 691 052";"11 725";"737";"49";"1 703 563"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2008, 2007, 2006, 2005"
" - film_id : 24238"
