"Market";"Distributor";"Release date";"2007";"2008";"2009";"2010";"2011";"2014";"2015";"2016";"2017";"2019";"2011-2019";"Total since 2006"
"AT";"Filmladen";"07/09/2007";"16 038";"1 457";"162";"";"";"";"";"";"";"";"";"17 657"
"BE";"ABC Distribution";"28/11/2007";"2 538";"2 705";"";"";"";"";"";"";"";"";"";"5 243"
"CH";"Filmcoopi Zürich";"10/05/2007";"30 690";"216";"115";"30";"";"131";"";"";"";"";"131";"31 182"
"CZ";"SPI";"04/10/2007";"1 063";"548";"55";"1";"8";"";"";"";"";"";"8";"1 675"
"DE";"Piffl Medien";"01/02/2007";"468 828";"16 103";"";"";"";"88";"123";"304";"104";"";"619";"485 550"
"ES";"Alta Classics";"16/07/2007";"141 439";"2 580";"55";"";"";"";"";"";"";"";"";"144 074"
"FR";"EuropaCorp (FR)";"16/01/2008";"";"161 221";"";"";"";"";"";"";"";"";"";"161 221"
"GB";"Peccadillo Pictures";"07/03/2008";"";"1 130";"";"";"";"";"";"";"";"";"";"1 130"
"GR";"";"04/10/2007";"875";"351";"";"";"";"";"";"";"";"";"";"1 226"
"HU";"SPI Hungary";"11/10/2007";"1 781";"";"";"";"";"";"";"";"";"";"";"1 781"
"IT";"Lady Film";"04/05/2007";"163 898";"1 010";"220";"";"98";"";"";"";"";"10";"108";"165 236"
"NL";"ABC Film Distribution/Cinemien";"27/09/2007";"18 836";"5 216";"";"144";"";"";"";"";"";"";"";"24 196"
"PL";"SPI Poland";"23/05/2008";"";"1 256";"";"";"";"";"";"";"";"";"";"1 256"
"SK";"Film Europe (SK)";"03/04/2008";"";"618";"";"";"";"24";"";"";"";"";"24";"642"
"EUR EU";"";"";"815 296";"194 195";"492";"145";"106";"112";"123";"304";"104";"10";"759";"1 010 887"
"EUR OBS";"";"";"845 986";"194 411";"607";"175";"106";"243";"123";"304";"104";"10";"890";"1 042 069"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2017, 2016, 2015, 2014, 2011, 2010, 2009, 2008, 2007"
" - film_id : 28470"
