"Market";"Distributor";"Release date";"2001";"2002";"2004";"2014";"2015";"2016";"2017";"2018";"2015-2018";"Total since 2001"
"AT";"";"";"7 860";"962";"106";"";"";"";"";"";"";"8 928"
"CH";"Elite Film";"23/08/2001";"19 878";"";"";"";"";"";"";"28";"28";"19 906"
"DE";"Senator Film Verleih";"23/08/2001";"835 253";"64 594";"";"302";"19";"145";"3 737";"204";"4 105";"904 254"
"EUR EU";"";"";"843 113";"65 556";"106";"302";"19";"145";"3 737";"204";"4 105";"913 182"
"EUR OBS";"";"";"862 991";"65 556";"106";"302";"19";"145";"3 737";"232";"4 133";"933 088"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2018, 2017, 2016, 2015, 2014, 2004, 2002, 2001"
" - film_id : 17891"
