"Market";"Distributor";"Release date";"2008";"2009";"2011";"2017";"Total since 2008"
"AT";"Constantin Film (AT)";"29/08/2008";"75 323";"19";"61";"";"75 403"
"CH";"Pathé Films (CH)";"17/07/2008";"18 732";"";"";"";"18 732"
"DE";"Constantin Film (DE)";"17/07/2008";"1 015 608";"";"";"21";"1 015 629"
"EUR EU";"";"";"1 090 931";"19";"61";"21";"1 091 032"
"EUR OBS";"";"";"1 109 663";"19";"61";"21";"1 109 764"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2011, 2009, 2008"
" - film_id : 30498"
