"Market";"Distributor";"Release date";"2000";"2001";"2002";"2008";"2010";"2011";"2013";"2014";"2015";"2016";"2018";"2019";"2010-2019";"Total since 2000"
"AT";"";"";"18 133";"9 841";"";"";"";"";"";"";"";"";"";"";"";"27 974"
"CH";"Elite Film";"26/04/2001";"";"29 392";"";"68";"55";"158";"115";"107";"";"";"";"";"435";"29 895"
"DE";"Senator Film Verleih";"14/12/2000";"482 306";"748 458";"";"";"";"";"";"136";"184";"19";"54";"27";"420";"1 231 184"
"PL";"Best Film";"05/04/2002";"";"";"1 053";"";"";"";"";"";"";"";"";"";"";"1 053"
"EUR EU";"";"";"500 439";"758 299";"1 053";"";"";"";"";"136";"184";"19";"54";"27";"420";"1 260 211"
"EUR OBS";"";"";"500 439";"787 691";"1 053";"68";"55";"158";"115";"243";"184";"19";"54";"27";"855";"1 290 106"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2019, 2018, 2016, 2015, 2014, 2013, 2011, 2010, 2008, 2002, 2001, 2000"
" - film_id : 15481"
