"Market";"Distributor";"Release date";"2018";"2019";"2020";"Total since 2018"
"AT";"Warner Bros. (AT)";"25/12/2018";"23 029";"22 798";"";"45 827"
"CH";"Warner Bros. (CH)";"25/12/2018";"11 899";"14 222";"20";"26 141"
"DE";"Warner Bros. (DE)";"25/12/2018";"752 145";"3 064 823";"52 905";"3 869 873"
"ES";"Wanda Vision";"22/07/2019";"";"20 137";"";"20 137"
"MK";"Cutaway (MK)";"";"";"";"2";"2"
"EUR EU";"";"";"775 174";"3 107 758";"52 905";"3 935 837"
"EUR OBS";"";"";"787 073";"3 121 980";"52 927";"3 961 980"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018"
" - film_id : 79787"
