"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Wild Bunch (AT)";"04/11/2016";"83 393";"4 559";"1 038";"798";"";"89 788"
"BE";"Central Film Verleih (BE)";"";"";"108";"";"";"";"108"
"CH";"Filmcoopi Zürich";"17/11/2016";"33 944";"9 251";"136";"347";"";"43 678"
"DE";"Wild Bunch (DE)";"03/11/2016";"465 566";"186 540";"5 518";"15 723";"5 710";"679 057"
"DK";"SF Studios (DK)";"24/11/2016";"27 917";"1 260";"";"230";"";"29 407"
"EE";"Estinfilm";"17/11/2017";"";"20 322";"73";"";"";"20 395"
"FI";"SF Film Finland [FS Film]";"25/11/2016";"95 525";"7 989";"297";"306";"";"104 117"
"LU";"";"";"";"160";"";"";"";"160"
"NO";"SF Norway";"25/11/2016";"35 108";"478";"219";"105";"";"35 910"
"PL";"Nowe Horyzonty";"23/11/2018";"";"";"31 370";"9 036";"";"40 406"
"RU";"Big Animation Fest (RU)";"20/12/2018";"";"";"7 635";"9 868";"965";"18 468"
"SE";"Svensk Filmindustri";"25/11/2016";"120 864";"15 908";"";"";"";"136 772"
"EUR EU";"";"";"793 265";"236 846";"38 296";"26 093";"5 710";"1 100 210"
"EUR OBS";"";"";"862 317";"246 575";"46 286";"36 413";"6 675";"1 198 266"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 68181"
