"Market";"Distributor";"Release date";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2016-2020";"Total since 2012"
"AT";"Stadtkino Filmverleih";"16/03/2012";"10 920";"";"";"4";"96";"";"";"";"";"96";"11 020"
"BE";"A Film (BE)";"12/09/2012";"14 165";"2 572";"535";"";"";"";"";"";"";"";"17 272"
"CH";"Look Now!";"02/05/2012";"48 911";"572";"216";"";"36";"";"";"148";"";"184";"49 883"
"DE";"Piffl Medien";"08/03/2012";"369 415";"10 488";"382";"226";"93";"303";"154";"380";"205";"1 135";"381 646"
"DK";"UIP (DK)";"29/11/2012";"7 225";"3 494";"";"";"";"";"";"";"";"";"10 719"
"ES";"Golem Distribucion";"05/04/2013";"";"77 156";"21";"222";"";"";"61";"";"";"61";"77 460"
"FI";"Future Film (FI)";"17/08/2012";"5 792";"469";"";"";"";"";"";"";"";"";"6 261"
"FR";"Pyramide Distribution";"02/05/2012";"303 352";"9 108";"9 009";"4 575";"";"";"";"";"322";"322";"326 366"
"GB";"Thunderbird (GB)";"28/09/2012";"28 402";"2 623";"30";"5";"";"526";"";"";"";"526";"31 586"
"GR";"Seven Films";"18/10/2012";"5 873";"1 551";"295";"79";"";"";"";"";"";"";"7 798"
"HR";"Discovery (HR)";"08/11/2012";"367";"";"";"";"";"";"";"";"";"";"367"
"HU";"Cirko Film";"04/10/2012";"2 080";"";"";"";"";"";"";"";"";"";"2 080"
"IE";"Soda Pictures (IE)";"28/09/2012";"3 787";"";"";"";"";"";"";"";"";"";"3 787"
"IT";"Bim Distribuzione";"14/03/2013";"";"48 349";"49";"";"";"";"";"";"";"";"48 398"
"LI";"Look Now (LI)";"01/05/2012";"189";"";"";"";"";"";"";"";"";"";"189"
"LU";"A-Film Belgie";"09/03/2012";"1 606";"";"";"";"";"";"";"";"";"";"1 606"
"LV";"Getes Instituts";"";"190";"";"";"";"";"";"";"";"";"";"190"
"MK";"Goethe Institut (MK)";"";"";"";"";"";"";"";"";"70";"";"70";"70"
"NL";"A-Film (NL)";"13/09/2012";"18 511";"3 256";"67";"";"";"";"";"";"";"";"21 834"
"NO";"Arthaus (NO)";"28/09/2012";"14 081";"205";"16";"203";"";"";"";"";"18";"18";"14 523"
"PL";"Aurora Films";"09/11/2012";"6 856";"1 868";"1 301";"80";"1 372";"";"";"";"";"1 372";"11 477"
"PT";"Leopardo Filmes";"31/01/2013";"";"7 077";"158";"";"";"";"";"";"";"";"7 235"
"RO";"IF-Independenta Film";"15/02/2013";"";"1 189";"23";"";"";"";"99";"";"";"99";"1 311"
"RU";"Cinema Prestige";"16/08/2012";"3 265";"";"";"";"";"";"52";"";"";"52";"3 317"
"SE";"Folkets Bio";"10/08/2012";"16 604";"663";"";"";"";"";"";"";"";"";"17 267"
"SI";"Blitz Film & Video Distribution (SI)";"07/11/2012";"781";"658";"101";"";"";"";"55";"";"";"55";"1 595"
"TR";"Tiglon";"20/07/2012";"4 039";"581";"";"";"";"";"";"";"";"";"4 620"
"EUR EU";"";"";"795 926";"170 521";"11 971";"5 191";"1 561";"829";"369";"380";"527";"3 666";"987 275"
"EUR OBS";"";"";"866 411";"171 879";"12 203";"5 394";"1 597";"829";"421";"598";"545";"3 990";"1 059 877"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012"
" - film_id : 40194"
