"Market";"Distributor";"Release date";"2016";"2017";"2018";"2019";"2020";"Total since 2016"
"AT";"Warner Bros. (AT)";"03/11/2016";"135 640";"6 868";"";"";"";"142 508"
"CH";"Warner Bros. (CH)";"03/11/2016";"90 531";"9 240";"25";"";"";"99 796"
"DE";"Warner Bros. (DE)";"03/11/2016";"3 079 425";"735 118";"24 698";"2 379";"726";"3 842 346"
"HU";"ADS";"21/09/2017";"";"2 171";"152";"28";"";"2 351"
"IT";"Cineama Distr. (IT)";"10/05/2018";"";"";"14 368";"1 375";"";"15 743"
"MK";"Cutaway (MK)";"07/02/2019";"";"";"";"72";"26";"98"
"RO";"Cine Europa (RO)";"22/09/2017";"";"864";"67";"";"";"931"
"EUR EU";"";"";"3 215 065";"745 021";"39 285";"3 782";"726";"4 003 879"
"EUR OBS";"";"";"3 305 596";"754 261";"39 310";"3 854";"752";"4 103 773"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016"
" - film_id : 70098"
