"Market";"Distributor";"Release date";"2013";"2014";"2015";"2016";"2017";"2019";"2020";"2017-2020";"Total since 2013"
"AT";"Constantin Film (AT)";"01/02/2013";"98 360";"";"";"";"";"";"";"";"98 360"
"CH";"Pathé Films (CH)";"31/01/2013";"45 238";"";"";"";"";"";"";"";"45 238"
"DE";"Constantin Film (DE)";"31/01/2013";"1 131 838";"1 452";"412";"60";"105";"50";"79";"234";"1 133 996"
"DK";"Angel Films";"04/09/2016";"";"";"";"2 990";"";"";"";"";"2 990"
"ES";"Flins y piniculas";"06/09/2013";"2 350";"198";"41";"376";"84";"";"";"84";"3 049"
"EUR EU";"";"";"1 232 548";"1 650";"453";"3 426";"189";"50";"79";"318";"1 238 395"
"EUR OBS";"";"";"1 277 786";"1 650";"453";"3 426";"189";"50";"79";"318";"1 283 633"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2017, 2016, 2015, 2014, 2013"
" - film_id : 44677"
