"Market";"Distributor";"Release date";"2005";"2006";"2007";"2008";"2009";"2012";"2013";"2014";"2017";"2009-2017";"Total since 2004"
"AT";"Filmladen";"14/01/2005";"41 309";"240";"37";"";"";"";"";"";"";"";"41 586"
"CH";"Filmcoopi Zürich";"03/02/2005";"65 297";"";"";"68";"";"";"29";"20";"11";"60";"65 425"
"DE";"X-Verleih";"06/01/2005";"1 038 631";"";"";"";"";"";"";"";"";"";"1 038 631"
"IT";"Lady Film";"25/11/2005";"71 885";"49 506";"70";"18";"";"72";"";"";"";"72";"121 551"
"SE";"Folkets Bio Stockholm";"15/02/2009";"";"";"";"";"123";"";"";"";"";"123";"123"
"EUR EU";"";"";"1 151 825";"49 746";"107";"18";"123";"72";"";"";"";"195";"1 201 891"
"EUR OBS";"";"";"1 217 122";"49 746";"107";"86";"123";"72";"29";"20";"11";"255";"1 267 316"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2017, 2014, 2013, 2012, 2009, 2008, 2007, 2006, 2005"
" - film_id : 24245"
