"Market";"Distributor";"Release date";"2006";"2007";"2008";"2009";"2010";"2013";"2014";"2020";"2010-2020";"Total since 2005"
"AT";"Filmladen";"13/01/2006";"20 801";"790";"117";"";"";"";"";"";"";"21 708"
"CH";"Filmcoopi Zürich";"02/02/2006";"26 256";"104";"";"23";"204";"16";"69";"42";"331";"26 714"
"DE";"X-Verleih";"05/01/2006";"964 741";"3 026";"";"";"";"";"";"";"";"967 767"
"ES";"Alta Classics";"26/07/2006";"64 539";"989";"1 559";"42";"";"";"";"";"";"67 129"
"FR";"Océan Films";"12/07/2006";"9 805";"";"40";"";"";"";"";"";"";"9 845"
"NO";"";"";"";"70";"";"";"";"";"";"";"";"70"
"EUR EU";"";"";"1 059 886";"4 805";"1 716";"42";"";"";"";"";"0";"1 066 449"
"EUR OBS";"";"";"1 086 142";"4 979";"1 716";"65";"204";"16";"69";"42";"331";"1 093 233"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2014, 2013, 2010, 2009, 2008, 2007, 2006"
" - film_id : 25898"
