"Market";"Distributor";"Release date";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2013-2020";"Total since 2009"
"AT";"Filmcasino & Polyfilm";"25/12/2009";"16 822";"38 457";"143";"415";"";"";"";"";"";"";"";"";"";"55 837"
"BE";"Cineart (BE)";"31/03/2010";"123";"13 260";"1 305";"37";"";"";"";"";"";"";"";"";"";"14 725"
"BG";"Art Fest";"02/04/2010";"";"7 994";"809";"409";"714";"403";"128";"556";"";"";"";"";"1 801";"11 013"
"CH";"Pathé Films (CH)";"23/12/2009";"12 427";"51 154";"228";"";"234";"9";"30";"20";"";"7";"";"54";"354";"64 163"
"CY";"Rosebud (CY)";"29/01/2010";"";"1 571";"";"";"";"";"";"";"";"";"";"";"";"1 571"
"DE";"Pandora Film (DE)";"25/12/2009";"344 994";"957 339";"10 157";"";"";"1 505";"528";"618";"174";"727";"493";"356";"4 401";"1 316 891"
"DK";"";"";"";"24 882";"";"";"";"";"";"";"";"";"";"";"";"24 882"
"EE";"Kino Pasaka (EE)";"30/12/2010";"";"168";"1 662";"";"";"";"";"";"";"";"";"";"";"1 830"
"ES";"Golem Distribucion";"31/03/2010";"";"94 117";"1 558";"183";"";"62";"17";"";"332";"6";"";"";"417";"96 275"
"FI";"Future Film (FI)";"27/08/2010";"";"4 112";"";"";"";"";"";"";"";"";"";"";"";"4 112"
"FR";"Pyramide Distribution";"17/03/2010";"";"290 516";"5 483";"833";"";"";"";"";"";"";"";"";"";"296 832"
"GR";"Rosebud";"17/12/2009";"";"68 839";"443";"";"";"";"";"";"";"";"";"";"";"69 282"
"HR";"Continental Film (HR)";"11/10/2010";"";"1 713";"301";"";"";"";"";"";"";"";"";"";"";"2 014"
"HU";"Budapestfilm";"21/10/2010";"";"6 488";"1 734";"70";"";"";"";"";"";"";"";"";"";"8 292"
"IT";"Bim Distribuzione";"08/01/2010";"";"394 470";"301";"11";"33";"120";"";"";"27";"";"";"";"180";"394 962"
"LT";"Kino Pasaka (LT)";"28/08/2010";"";"4 211";"705";"";"120";"21";"";"";"";"";"";"";"141";"5 057"
"LU";"Cineart (LU)";"25/12/2009";"";"1 600";"72";"27";"";"";"";"";"";"";"";"";"";"1 699"
"LV";"Kino Pasaka (LV)";"";"";"736";"482";"";"";"";"";"";"";"";"";"";"";"1 218"
"NL";"Cinéart Nederland";"13/05/2010";"";"19 416";"425";"45";"";"129";"";"";"";"";"";"";"129";"20 015"
"NO";"Arthaus (NO)";"16/07/2010";"";"7 958";"85";"";"";"";"";"6";"";"";"";"";"6";"8 049"
"PL";"Kino Swiat";"06/01/2011";"";"1 860";"32 602";"161";"";"";"";"";"";"";"";"";"";"34 623"
"PT";"Atalanta Filmes";"22/04/2010";"";"3 752";"523";"17";"";"";"";"";"";"";"";"";"";"4 292"
"RO";"IF-Independenta Film";"11/06/2010";"";"4 276";"61";"";"";"45";"";"";"";"";"";"";"45";"4 382"
"RU";"Volga (RU)";"21/01/2010";"";"39 180";"";"";"";"";"";"";"";"";"";"";"";"39 180"
"SE";"Atlantic Film (SE)";"25/12/2010";"";"1 065";"2 772";"";"";"";"";"";"";"";"";"";"";"3 837"
"SI";"Continental Film (SI)";"15/04/2010";"";"3 985";"446";"";"";"";"";"";"";"";"";"";"";"4 431"
"TR";"Tiglon";"01/01/2010";"";"76 509";"178";"190";"";"";"";"";"";"";"";"";"";"76 877"
"EUR EU";"";"";"361 939";"1 944 827";"61 984";"2 208";"867";"2 285";"673";"1 174";"533";"733";"493";"356";"7 114";"2 378 072"
"EUR OBS";"";"";"374 366";"2 119 628";"62 475";"2 398";"1 101";"2 294";"703";"1 200";"533";"740";"493";"410";"7 474";"2 566 341"

"Film Information - Admissions"
" - source_country_ids : _All"
" - admission_years : 2020, 2019, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009"
" - film_id : 33449"
